,name,rest_id,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),rating_encoded
20,The Vintage Cafe,19.0,Online,booking_not_available,3.0,62.0,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400.0,Cafes,17.0
21,Woodee Pizza,20.0,Online,booking_not_available,3.7,180.0,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500.0,Cafes,19.0
23,My Tea House,21.0,Online,booking_not_available,3.6,62.0,Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600.0,Cafes,9.0
29,Srinathji's Cafe,22.0,Offline,booking_not_available,3.8,148.0,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550.0,Cafes,19.0
30,Redberrys,23.0,Online,booking_not_available,4.0,219.0,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600.0,Cafes,20.0
31,Foodiction,24.0,Online,booking_not_available,2.8,506.0,Banashankari,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500.0,Delivery,20.0
33,Ovenstory Pizza,25.0,Online,booking_not_available,3.9,172.0,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750.0,Delivery,19.0
34,Faasos,26.0,Online,booking_not_available,4.2,415.0,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500.0,Delivery,17.0
35,Behrouz Biryani,27.0,Online,booking_not_available,3.9,230.0,Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650.0,Delivery,21.0
37,Szechuan Dragon,28.0,Online,booking_not_available,4.2,1647.0,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600.0,Delivery,12.0
38,Empire Restaurant,29.0,Online,booking_not_available,4.4,4884.0,Jayanagar,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",750.0,Delivery,24.0
40,Chaatimes,30.0,Online,booking_not_available,3.8,133.0,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200.0,Delivery,21.0
42,McDonald's,31.0,Online,booking_not_available,3.9,286.0,Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500.0,Delivery,23.0
43,Domino's Pizza,32.0,Online,booking_not_available,3.9,540.0,Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800.0,Delivery,23.0
44,Onesta,33.0,Online,booking_available,4.6,2556.0,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600.0,Delivery,17.0
45,Hotboxit,34.0,Offline,booking_not_available,3.8,36.0,Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",400.0,Delivery,21.0
46,Kitchen Garden,35.0,Online,booking_not_available,3.6,244.0,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",300.0,Delivery,22.0
47,Recipe,36.0,Online,booking_not_available,4.0,804.0,Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450.0,Delivery,22.0
48,Beijing Bites,37.0,Online,booking_not_available,3.7,679.0,Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850.0,Delivery,22.0
49,Tasty Bytes,38.0,Online,booking_not_available,3.1,245.0,Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300.0,Delivery,17.0
52,Corner House Ice Cream,39.0,Offline,booking_not_available,4.3,345.0,Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400.0,Delivery,23.0
53,Biryanis And More,40.0,Online,booking_not_available,4.0,618.0,Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Delivery,25.0
54,Roving Feast,41.0,Offline,booking_not_available,4.0,1047.0,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450.0,Delivery,7.0
55,FreshMenu,42.0,Online,booking_not_available,3.9,627.0,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,14.0
57,Wamama,43.0,Online,booking_available,4.2,354.0,Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,Delivery,19.0
60,Peppy Peppers,44.0,Offline,booking_not_available,4.2,244.0,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800.0,Delivery,19.0
61,Goa 0 Km,45.0,Online,booking_available,3.6,163.0,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800.0,Delivery,22.0
63,1947,46.0,Offline,booking_available,4.0,808.0,Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850.0,Delivery,11.0
65,Kabab Magic,47.0,Online,booking_not_available,4.1,1720.0,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400.0,Delivery,19.0
67,Gustoes Beer House,48.0,Offline,booking_not_available,4.1,868.0,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,Delivery,22.0
71,The Biryani Cafe,49.0,Offline,booking_not_available,4.1,520.0,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300.0,Delivery,18.0
74,Rolls On Wheels,50.0,Offline,booking_not_available,3.6,299.0,Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300.0,Delivery,22.0
76,Sri Guru Kottureshwara Davangere Benne Dosa,51.0,Online,booking_not_available,4.1,558.0,Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150.0,Delivery,13.0
79,Upahar Sagar,52.0,Offline,booking_not_available,3.8,39.0,Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350.0,Delivery,22.0
81,Frozen Bottle,53.0,Online,booking_not_available,4.2,146.0,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400.0,Delivery,20.0
86,Meghana Foods,54.0,Online,booking_not_available,4.4,4401.0,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600.0,Delivery,24.0
94,Nandhini Deluxe,55.0,Offline,booking_not_available,2.6,283.0,Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600.0,Delivery,19.0
95,Vi Ra's Bar and Restaurant,56.0,Offline,booking_not_available,3.3,62.0,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800.0,Delivery,19.0
98,Chatar Patar,57.0,Offline,booking_not_available,3.7,65.0,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300.0,Delivery,16.0
99,Polar Bear,58.0,Online,booking_not_available,3.8,71.0,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Delivery,6.0
100,Kidambi's Kitchen,59.0,Offline,booking_not_available,3.5,52.0,Banashankari,Quick Bites,Rooftop Ambience,South Indian,300.0,Delivery,22.0
101,Mane Thindi,60.0,Offline,booking_not_available,3.7,130.0,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200.0,Delivery,22.0
103,Floured-Baked With Love,61.0,Offline,booking_not_available,3.8,45.0,Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,400.0,Delivery,17.0
120,Bengaluru Coffee House,62.0,Online,booking_not_available,4.1,201.0,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300.0,Delivery,18.0
145,Anna Kuteera,63.0,Online,booking_not_available,4.0,771.0,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450.0,Delivery,20.0
146,Darbar,64.0,Offline,booking_not_available,3.0,98.0,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800.0,Delivery,19.0
148,Sri Udupi Food Hub,65.0,Online,booking_available,4.1,175.0,Jayanagar,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500.0,Delivery,22.0
150,House Of Kebabs,66.0,Online,booking_not_available,3.8,540.0,Basavanagudi,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",650.0,Delivery,21.0
151,Roll N Rock,67.0,Online,booking_not_available,3.8,124.0,Kumaraswamy Layout,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400.0,Delivery,18.0
152,BOX8- Desi Meals,68.0,Online,booking_not_available,4.1,340.0,Banashankari,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500.0,Delivery,22.0
153,KFC,69.0,Online,booking_not_available,3.8,505.0,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",450.0,Delivery,21.0
155,Roll Over,70.0,Online,booking_not_available,4.1,438.0,Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,Delivery,15.0
156,Imperial Restaurant,71.0,Online,booking_not_available,3.7,264.0,Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750.0,Delivery,20.0
159,Wahab,72.0,Online,booking_not_available,3.7,97.0,Jayanagar,Quick Bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",350.0,Delivery,21.0
162,Canton,73.0,Online,booking_not_available,3.6,195.0,Jayanagar,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",800.0,Delivery,16.0
164,The Blue Wagon - Kitchen,74.0,Online,booking_not_available,4.6,228.0,Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400.0,Delivery,20.0
166,Patio 805,75.0,Online,booking_available,4.1,364.0,Jayanagar,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese",1200.0,Delivery,19.0
167,Lassi Corner,76.0,Online,booking_not_available,3.7,107.0,Basavanagudi,Beverage Shop,Lassi,"Beverages, Ice Cream",150.0,Delivery,22.0
168,Sagar Deluxe,77.0,Online,booking_not_available,3.2,167.0,Kumaraswamy Layout,Quick Bites,"Coffee, Chaat","South Indian, North Indian, Chinese, Juices",300.0,Delivery,22.0
174,Energy Addaa,78.0,Online,booking_not_available,4.2,64.0,Basavanagudi,Quick Bites,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti","Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0,Delivery,15.0
176,Tandoori Knight,79.0,Online,booking_not_available,3.0,290.0,Banashankari,Quick Bites,"Chicken Grill, Biryani, Roti, Chicken Masala","North Indian, Chinese, Biryani, Kebab",450.0,Delivery,16.0
177,Dev Sagar - Food Street,80.0,Online,booking_not_available,4.1,233.0,Basavanagudi,Quick Bites,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",Street Food,200.0,Delivery,22.0
178,Mitraa Da Pizza,81.0,Online,booking_not_available,3.8,115.0,Kumaraswamy Layout,Quick Bites,"Pizza, Burgers","Fast Food, Pizza",250.0,Delivery,18.0
180,Grazers,82.0,Online,booking_available,3.9,291.0,Jayanagar,Cafe,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges","Cafe, Burger, Continental, Italian, Desserts",650.0,Delivery,20.0
181,Shakes Theory,83.0,Online,booking_not_available,4.5,155.0,Jayanagar,Beverage Shop,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri","Beverages, Sandwich",300.0,Delivery,22.0
182,@Italy,84.0,Online,booking_not_available,4.1,305.0,Kumaraswamy Layout,Casual Dining,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",Italian,700.0,Delivery,19.0
185,Old Mumbai Ice Cream,85.0,Online,booking_not_available,3.9,38.0,Banashankari,Dessert Parlor,Friendly Staff,Ice Cream,150.0,Delivery,22.0
186,Donne Biriyani House,86.0,Online,booking_not_available,3.9,441.0,Banashankari,Quick Bites,Biryani,"South Indian, North Indian, Chinese, Biryani",400.0,Delivery,18.0
188,Kedia's Fun Food,87.0,Online,booking_not_available,4.3,630.0,Jayanagar,Quick Bites,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla","North Indian, Street Food, Juices",200.0,Delivery,20.0
190,Just Shawarma,88.0,Online,booking_not_available,3.9,160.0,Kumaraswamy Layout,Quick Bites,"Whole Meat Shawarma, Fries",Arabian,300.0,Delivery,17.0
191,Mini Punjabi Dhaba,89.0,Online,booking_not_available,4.2,287.0,Banashankari,Quick Bites,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",North Indian,350.0,Delivery,18.0
193,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,90.0,Online,booking_not_available,4.1,402.0,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500.0,Delivery,13.0
194,Gokul Veg,91.0,Online,booking_not_available,3.8,469.0,Basavanagudi,Casual Dining,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti","North Indian, Chinese, Beverages",750.0,Delivery,16.0
195,Olive - Era,92.0,Online,booking_not_available,3.3,511.0,Kumaraswamy Layout,Casual Dining,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita","BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0,Delivery,21.0
198,Gama Gama,93.0,Online,booking_not_available,3.9,264.0,Banashankari,Quick Bites,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",South Indian,200.0,Delivery,16.0
199,The Vintage Cafe,94.0,Online,booking_not_available,3.0,62.0,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400.0,Delivery,19.0
200,Pizza Hut,95.0,Online,booking_not_available,3.8,693.0,Banashankari,Casual Dining,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread","Pizza, Fast Food",750.0,Delivery,18.0
201,Mangalore Pearl,96.0,Online,booking_not_available,3.8,242.0,Jayanagar,Casual Dining,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish","Mangalorean, Seafood, Chinese, Biryani",650.0,Delivery,19.0
203,Twiststick House,97.0,Online,booking_not_available,4.1,163.0,Basavanagudi,Quick Bites,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav","Continental, Fast Food, Street Food, Momos",500.0,Delivery,22.0
204,Cool Corner,98.0,Online,booking_not_available,4.2,191.0,Basavanagudi,Quick Bites,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich","Street Food, Fast Food",250.0,Delivery,11.0
205,Pizza Mane,99.0,Online,booking_not_available,3.5,32.0,Banashankari,Quick Bites,"French Fries, Burgers","Pizza, Sandwich, Burger, Fast Food",150.0,Delivery,13.0
206,Dal Tadkaa,100.0,Online,booking_not_available,2.5,247.0,Banashankari,Casual Dining,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",North Indian,500.0,Delivery,19.0
207,Chutney Chang,101.0,Online,booking_available,4.1,2339.0,Jayanagar,Casual Dining,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food","North Indian, Chinese, BBQ",1500.0,Delivery,21.0
208,Mystique Palate,102.0,Online,booking_not_available,4.1,337.0,Jayanagar,Quick Bites,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries","Chinese, Fast Food",300.0,Delivery,18.0
209,Thamboola,103.0,Online,booking_not_available,3.9,135.0,Banashankari,Casual Dining,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala","North Indian, Chinese, Continental",800.0,Delivery,18.0
210,Castle Rock,104.0,Online,booking_not_available,3.6,172.0,Uttarahalli,Casual Dining,Biryani,"North Indian, Chinese",700.0,Delivery,22.0
211,Vietnamese Kitchen,105.0,Online,booking_not_available,3.6,105.0,Banashankari,Casual Dining,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",Vietnamese,700.0,Delivery,23.0
212,Smacznego,106.0,Online,booking_not_available,4.2,504.0,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550.0,Delivery,23.0
217,Toscano,107.0,Online,booking_available,4.3,1129.0,Jayanagar,Casual Dining,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine","Italian, Salad",1300.0,Delivery,19.0
219,Stoned Monkey,108.0,Online,booking_not_available,4.3,860.0,Banashankari,Dessert Parlor,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu","Desserts, Ice Cream",500.0,Delivery,20.0
220,Central Jail Restaurant,109.0,Online,booking_not_available,3.8,412.0,Jayanagar,Casual Dining,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken","Andhra, Seafood, North Indian, Chinese",700.0,Delivery,19.0
221,Bella,110.0,Online,booking_available,3.9,142.0,Jayanagar,Casual Dining,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha","Mangalorean, Seafood, South Indian",1000.0,Delivery,21.0
223,New Prashanth Hotel,111.0,Online,booking_not_available,3.6,143.0,Jayanagar,Casual Dining,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani","South Indian, Biryani, Chinese, North Indian",750.0,Delivery,14.0
226,Karma Kaapi,112.0,Online,booking_not_available,4.4,181.0,Jayanagar,Beverage Shop,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano","Beverages, Tea",250.0,Delivery,19.0
227,Tiwari's,113.0,Online,booking_not_available,3.8,70.0,Jayanagar,Quick Bites,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha","North Indian, Street Food",200.0,Delivery,23.0
228,Pizza Stop,114.0,Online,booking_not_available,3.8,164.0,Basavanagudi,Quick Bites,"Pizza, White Sauce Pasta, Masala Garlic Bread","Pizza, Italian",600.0,Delivery,21.0
229,Biggies Burger 'n' More,115.0,Online,booking_not_available,3.6,58.0,Kumaraswamy Layout,Quick Bites,"Burgers, Fries, Mojito, Chicken Burger","Cafe, Burger, Beverages",650.0,Delivery,22.0
230,Srinathji's Cafe,116.0,Offline,booking_not_available,3.8,148.0,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550.0,Delivery,20.0
231,Kollapuri's,117.0,Offline,booking_not_available,3.9,206.0,Basavanagudi,Quick Bites,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry","South Indian, Mangalorean",450.0,Delivery,20.0
235,RS Shiv Sagar,118.0,Offline,booking_not_available,3.7,217.0,Basavanagudi,Casual Dining,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda","North Indian, Chinese, South Indian, Fast Food, Juices",450.0,Delivery,25.0
237,Harshi Super Sandwich,119.0,Offline,booking_not_available,3.8,148.0,Basavanagudi,Quick Bites,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich","Fast Food, Street Food",150.0,Delivery,20.0
